Word	[ (Document1, Count1), ... ]
chairman	(7, 1) 
champions	(1, 4) (8, 2) 
championship	(8, 1) (1, 2) 
chapters	(5, 1) 
characterization	(5, 1) 
charge	(7, 1) 
child	(4, 1) (2, 1) 
childhood	(5, 2) 
chile	(2, 3) (4, 3) (10, 2) (3, 10) (9, 4) (6, 4) 
chilean	(6, 5) (10, 1) (4, 3) (2, 3) (9, 1) (3, 7) 
chileno	(3, 1) 
chilenos	(3, 1) 
chiles	(9, 1) 
chinese	(5, 1) 
chorus	(3, 1) 
cities	(9, 1) 
citing	(5, 1) 
city	(9, 8) 
citys	(9, 1) 
cityscape	(9, 1) 
civilization	(5, 1) 
classic	(7, 1) 
classical	(5, 1) 
claudio	(3, 2) 
club	(4, 2) (6, 7) (7, 6) (1, 4) (8, 4) (2, 2) 
club-record	(8, 1) 
clubnborn	(8, 1) 
clubs	(6, 2) (1, 1) 
co-hosts	(10, 1) 
coach	(7, 4) 
coached	(7, 1) 
cobreloa	(4, 1) (6, 1) (2, 1) 
colegio	(3, 1) 
collected	(5, 2) 
collectible	(5, 1) 
collections	(5, 1) 
colo-colo	(2, 1) (6, 2) (4, 1) 
colombia	(3, 1) 
colonial	(9, 1) 
combined	(5, 1) (7, 1) 
companies	(5, 1) 
company	(8, 1) 
comparisons	(8, 1) 
compatriot	(8, 1) 
competitive	(8, 1) 
compositions	(3, 1) 
concert	(3, 2) 
configurations	(3, 1) 
congress	(9, 1) 
conquering	(6, 1) 
conquistador	(9, 1) 
consecutive	(4, 1) (1, 1) (8, 2) (2, 1) 
considerable	(5, 1) (9, 1) 
considered	(5, 1) (3, 2) 
contests	(10, 1) 
continental	(6, 1) 
continued	(3, 2) 
continues	(3, 1) 
continuous	(9, 1) 
contract	(8, 1) 
contribute	(9, 1) 
control	(7, 1) 
controversial	(3, 1) 
copa	(6, 3) (4, 3) (2, 3) (8, 6) (1, 1) 
copies	(3, 1) (5, 2) 
coppa	(4, 1) (1, 1) (2, 1) 
corazones	(3, 1) 
corazu00f3n	(3, 1) 
core	(3, 1) (9, 1) 
corporations	(9, 1) 
coty	(3, 1) 
countries	(5, 2) 
country	(6, 1) (8, 2) 
countrynronaldo	(1, 1) 
countrys	(2, 1) (4, 1) (9, 2) (8, 1) 
cover	(3, 1) 
cp	(1, 1) 
created	(3, 1) (5, 1) 
creative	(8, 1) (7, 1) 
cristiano	(8, 1) (1, 1) 
criticized	(3, 1) 
cru00f3nicas	(10, 1) 
culture	(5, 2) 
cup	(1, 2) (8, 3) (7, 3) 
cups	(7, 1) (4, 1) (2, 1) 
cycles	(3, 1) 
date	(3, 1) 
david	(6, 2) 
de	(6, 2) (10, 2) (7, 2) (3, 5) (9, 2) 
deal	(4, 1) (2, 1) 
death	(7, 1) 
debut	(1, 1) (8, 2) (2, 1) (4, 1) 
december	(4, 1) (10, 1) (2, 1) 
decided	(3, 1) 
decision	(8, 1) 
deco	(9, 1) 
del	(8, 1) (4, 1) (1, 1) (3, 1) (2, 1) 
densely	(9, 1) 
deportivo	(6, 1) 
described	(8, 1) 
developed	(5, 2) 
dictatorship	(3, 1) 
diego	(8, 1) (7, 1) 
different	(7, 1) 
diminutive	(8, 1) 
discos	(3, 1) 
discovers	(5, 1) 
dissolve	(3, 1) 
dissolving	(3, 1) 
divided	(5, 1) 
divisiu00f3n	(6, 2) (7, 1) 
don	(10, 1) 
dor	(8, 8) (1, 3) 
dorados	(7, 1) 
doragon	(5, 1) 
dos	(1, 1) 
dotted	(9, 1) 
downtown	(9, 1) 
dragon	(5, 15) 
dream	(8, 1) 
drew	(8, 1) 
dribble	(7, 1) 
dribbler	(8, 1) 
dribbling	(7, 1) 
drugsnan	(7, 1) 
dubai-based	(7, 1) 
due	(10, 1) (9, 1) 
during	(9, 1) (7, 1) (8, 2) (10, 2) 
duties	(7, 1) 
dynamo	(7, 1) 
each	(10, 2) 
early	(3, 1) 
earn	(1, 1) 
earned	(1, 1) (7, 1) (4, 1) (2, 1) 
earnings	(8, 1) 
eclectic	(10, 1) 
economic	(3, 1) 
ecuador	(3, 1) 
edition	(8, 1) 
education	(3, 1) 
effect	(7, 1) 
eight	(4, 1) (2, 1) 
el	(2, 1) (7, 1) (3, 1) (4, 1) 
elements	(5, 1) 
eleven	(6, 1) 
emi	(3, 1) 
en	(3, 3) 
encourages	(5, 1) 
end	(3, 1) (7, 2) (10, 1) 
endorsed	(8, 1) 
england	(7, 2) 
english	(10, 2) 
entered	(3, 1) (7, 1) 
entertainment	(10, 1) 
entire	(8, 1) 
entirely	(9, 1) 
episode	(10, 3) 
era	(3, 2) 
escuti	(6, 1) 
espau00f1ol	(3, 2) 
especially	(3, 1) 
espn	(1, 1) 
established	(8, 1) 
establishing	(8, 1) 
estadio	(3, 1) (6, 1) 
esteban	(6, 1) 
estrechez	(3, 1) 
euro	(1, 3) 
european	(1, 5) (8, 3) 
ever	(5, 1) (3, 1) 
every	(10, 1) 
exclusively	(5, 1) 
executive	(9, 1) 
exitos	(3, 1) 
expensive	(1, 2) (2, 1) (4, 1) 
exploring	(5, 1) 
eye	(7, 1) 
fa	(1, 1) (4, 1) (2, 1) 
faithfully	(5, 1) 
falling	(3, 1) 
family	(5, 1) 
famous	(1, 2) (7, 1) 
fans	(2, 1) (4, 1) 
far	(5, 1) 
